course_name,race_name,off_time,horse_name,betfair_price,trainer_name,jockey_name,market_rank
Catterick,William Hill Catterick Dash Handicap,12:20:00,I'm Next,7.60,T D Easterby,D Fentiman,4
Catterick,William Hill Catterick Dash Handicap,12:20:00,Hedge Fund (IRE),8.00,M Appleby,S D Bowen,5
Catterick,William Hill Catterick Dash Handicap,12:20:00,Kodiac Thriller (IRE),8.20,M Walford,Rhys Elliott,6
Catterick,William Hill Catterick Dash Handicap,12:20:00,Hiya Maite (GB),9.80,S R Bowring,Jack Dace,7
Catterick,William Hill Catterick Dash Handicap,12:20:00,Rosenpur (GER),9.80,J Candlish,William Pyle,7
Catterick,William Hill Catterick Dash Handicap,12:20:00,Castan (GB),10.00,B Smart,Aiden Brookes,9
Catterick,William Hill Catterick Dash Handicap,12:20:00,Curious Rover (IRE),17.00,K Scott,Joanna Mason,10
Catterick,William Hill Catterick Dash Handicap,12:20:00,Jumbeau (GB),18.00,Tom Clover,Jack Doughty,11
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Words Of Truth (GB),2.48,C Appleby,W Buick,1
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Division (GB),6.00,W J Haggas,James Doyle,2
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Siren Suit (GB),8.40,J & T Gosden,R Havlin,3
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Gentle George (GB),10.00,M Appleby,Alistair Rawlinson,4
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Mission Central (IRE),11.00,A P O'Brien,C Soumillon,5
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Sir Albert (IRE),13.50,A M Balding,Oisin Murphy,6
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Egoli (GB),18.00,R M Beckett,Rossa Ryan,7
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Ardisia (IRE),18.50,H Palmer,Tom Marquand,8
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Kamakameleon (GB),22.00,Dylan Cunha,Cieren Fallon,9
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Kansas (IRE),26.00,A P O'Brien,Wayne Lordan,10
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Super Soldier (IRE),40.00,K R Burke,C Lee,11
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Watcha Snoop (IRE),75.00,H Palmer,D Egan,12
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Slay Queen (IRE),120.00,R Hannon,Joe Leavy,13
Limerick,Limerick Show Maiden Hurdle,12:45:00,Brosna Town (IRE),2.00,D K Weld,J C Gainford,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Certamen (IRE),2.00,E Buckley,Kieren Buckley,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Call Tadgh (IRE),2.00,S Ryan,L Quinlan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Whoswhointhezoo (IRE),2.00,P Nolan,Conor Stone-Walsh,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Flash The Badge (IRE),2.00,J C McConnell,Alex Harvey,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Talk The Talk (FR),2.00,J P O'Brien,J J Slevin,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Splendid Fellow,2.00,H De Bromhead,Darragh O'Keeffe,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Frankie's First,2.00,J M Burke,Niall Moore,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Artic Chief,2.00,L Lennon,Caragh Monaghan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Starting Fifteen (GB),2.00,E McNamara,Sean Flanagan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Maharajjah (IRE),2.00,L Young,Ryan Treacy,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Glin Road Boy (IRE),2.00,E M O'Sullivan,Phillip Enright,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Hesgonethatway,2.00,P J Rothwell,Tiernan Power Roche,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Louiescall (IRE),2.00,D H Kelly,Cian Quirke,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Royal Approval (USA),2.00,G Elliott,Sam Ewing,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Touch The Moon (IRE),2.30,W Durkan,Philip Byrnes,16
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt',12:50:00,Absolutely Doyen (IRE),1.25,P F Nicholls,Freddie Gingell,1
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt',12:50:00,Night Stalker (GB),5.20,Miss S West,M Goldstein,2
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt',12:50:00,Vesalius (IRE),12.00,F Brennan,Isabelle Ryder,3
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt',12:50:00,Aceofadiamond (IRE),23.00,Ella Pickard,Miss Megan Bevan,4
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Lipsink (IRE),3.75,M Appleby,Jack Dace,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Monsieur Kodi (IRE),4.50,R A Fahey,O J Orr,2
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Alligator Alley (GB),4.80,Mrs R Carr,Kaiya Fraser,3
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Spring Bloom (GB),5.50,Darryll Holland,Darragh Keenan,4
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Beauty Choice (GB),6.00,M & D Easterby,Joanna Mason,5
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Ancient Times (USA),6.20,Harry Eustace,D Nolan,6
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Paws For Thought (IRE),8.00,D McCain Jnr,Charlie Maggs,7
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Bosh (IRE),9.00,M Dods,P Mulrennan,8
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Zarzyni (IRE),10.00,T D Barron,William Pyle,9
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Hurt You Never (IRE),11.00,Adrian Nicholls,J Garritty,10
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Lazzat (FR),5.40,J Reynier,James Doyle,1
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Montassib (GB),7.80,W J Haggas,Cieren Fallon,2
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Kind Of Blue (GB),8.00,J R Fanshawe,Daniel Muscutt,3
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Big Mojo (IRE),10.50,M Appleby,Tom Marquand,4
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,King Cuan (GB),14.00,P Twomey,W J Lee,5
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Flora Of Bermuda (IRE),14.00,A M Balding,Oisin Murphy,5
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Rayevka (IRE),14.00,F Graffard,M Barzalona,5
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Inisherin (GB),16.00,K A Ryan,T Eaves,8
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Ten Bob Tony (IRE),26.00,E Walker,K Shoemark,9
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,No Half Measures (IRE),28.00,R Hughes,N Callan,10
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Witness Stand (GB),29.00,Dr R Newland & J Insole,Colin Keane,11
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Iberian (IRE),32.00,C Hills,Billy Loughnane,12
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Art Power (IRE),48.00,T D Easterby,D Allan,13
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Spy Chief (GB),50.00,J & T Gosden,W Buick,14
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Quinault (GER),70.00,S C Williams,S M Levey,15
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,King's Gamble,70.00,R M Beckett,Rossa Ryan,15
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,James's Delight,70.00,C G Cox,C Lee,15
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Run To Freedom (GB),80.00,H Candy,Rob Hornby,18
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Powerful Glory (IRE),110.00,R A Fahey,J P Spencer,19
Leopardstown,Irish EBF Fillies Maiden (Smullen Series),13:10:00,Amelia Earhart (IRE),1.50,A P O'Brien,J Cleary,1
Leopardstown,Irish EBF Fillies Maiden (Smullen Series),13:10:00,Rose Sienna,1.50,J P Murtagh,Jamie Powell,1
Leopardstown,Irish EBF Fillies Maiden (Smullen Series),13:10:00,Chasing Paradise,1.50,J P Murtagh,Seamie Heffernan,1
Leopardstown,Irish EBF Fillies Maiden (Smullen Series),13:10:00,Knowinmeknowinyou,1.50,J P O'Brien,J M Sheridan,1
Leopardstown,Irish EBF Fillies Maiden (Smullen Series),13:10:00,Aravalli,1.50,Mrs J Harrington,Nathan Crosse,1
Leopardstown,Irish EBF Fillies Maiden (Smullen Series),13:10:00,Musical Chimes (GB),1.50,A P O'Brien,Ronan Whelan,1
Leopardstown,Irish EBF Fillies Maiden (Smullen Series),13:10:00,Almeiyda,1.50,D K Weld,Chris Hayes,1
Leopardstown,Irish EBF Fillies Maiden (Smullen Series),13:10:00,Ballycotton Bay,1.50,J S Bolger,Ross Coakley,1
Leopardstown,Irish EBF Fillies Maiden (Smullen Series),13:10:00,Camelot Queen (GB),1.50,A P O'Brien,Declan McDonogh,1
Leopardstown,Irish EBF Fillies Maiden (Smullen Series),13:10:00,I Hope You Dance,1.50,H De Bromhead,Andrew Slattery,1
Newton Abbot,British Stallion Studs EBF 'National Hunt' Novices,13:15:00,Grey Lagoon,2.10,P Hobbs & J White,Callum Pritchard,1
Newton Abbot,British Stallion Studs EBF 'National Hunt' Novices,13:15:00,Madajovy (GB),2.10,D Skelton,Tristan Durrell,1
Newton Abbot,British Stallion Studs EBF 'National Hunt' Novices,13:15:00,Jackomy,2.10,N P Mulholland,C O'Farrell,1
Newton Abbot,British Stallion Studs EBF 'National Hunt' Novices,13:15:00,Havefunontherun (IRE),2.10,F O'Brien,J J Burke,1
Newton Abbot,British Stallion Studs EBF 'National Hunt' Novices,13:15:00,Idaho Bridge (IRE),2.10,P Hobbs & J White,Sean Houlihan,1
Newton Abbot,British Stallion Studs EBF 'National Hunt' Novices,13:15:00,Kapitein Kool (IRE),2.10,J W Mullins,James Best,1
Newton Abbot,British Stallion Studs EBF 'National Hunt' Novices,13:15:00,Le Soleil Reve (FR),2.10,Mrs J Williams,C Gethings,1
Newton Abbot,British Stallion Studs EBF 'National Hunt' Novices,13:15:00,Hot To Go,2.16,N & W Twiston-Davies,Sam Twiston-Davies,8
Newton Abbot,British Stallion Studs EBF 'National Hunt' Novices,13:15:00,Calvino (IRE),3.60,P F Nicholls,H Cobden,9
Newton Abbot,British Stallion Studs EBF 'National Hunt' Novices,13:15:00,Fight My Fire (IRE),22.00,J Tizzard,Brendan Powell,10
Newton Abbot,British Stallion Studs EBF 'National Hunt' Novices,13:15:00,El Arco (IRE),26.00,H Dickin,Bradley Harris,11
Limerick,Vision Contracting Maiden Hurdle,13:20:00,How's The Head,2.00,T Townend,Miss J Townend,1
Limerick,Vision Contracting Maiden Hurdle,13:20:00,Kazbek (IRE),2.00,Peter Fahey,Jake Coen,1
Limerick,Vision Contracting Maiden Hurdle,13:20:00,Apalachiyeats (IRE),2.00,E M O'Sullivan,Mr Alan O'Sullivan,1
Limerick,Vision Contracting Maiden Hurdle,13:20:00,Bridge View Star (IRE),2.00,W J O'Doherty,Philip Byrnes,1
Limerick,Vision Contracting Maiden Hurdle,13:20:00,We Be Grand (IRE),2.00,E McNamara,Sean Flanagan,1
Limerick,Vision Contracting Maiden Hurdle,13:20:00,Three County Star (IRE),2.00,B Mortell,Calum Hogan,1
Limerick,Vision Contracting Maiden Hurdle,13:20:00,Uptaurintop (IRE),2.00,E M O'Sullivan,Phillip Enright,1
