course_name,race_name,off_time,horse_name,win_ppwap,trainer_name,rank
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,,2.7,D G Bridgwater,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,,2.7,F O'Brien,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Electric Eddy (GB),3.15,N & W Twiston-Davies,21
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,,3.15,N & W Twiston-Davies,21
Catterick,William Hill Catterick Dash Handicap,12:20:00,I'm Next,2.7,T D Easterby,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,Curious Rover (IRE),2.7,K Scott,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,,2.7,B Smart,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,,2.7,Tom Clover,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,Jumbeau (GB),2.7,Tom Clover,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,I'm Next,2.7,T D Easterby,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,Castan (GB),2.7,B Smart,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,,2.7,K Scott,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,,2.7,R M H Cowell,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,Lexington Blitz (IRE),2.7,R M H Cowell,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,,3.15,S R Bowring,11
Catterick,William Hill Catterick Dash Handicap,12:20:00,Hiya Maite (GB),3.15,S R Bowring,11
Catterick,William Hill Catterick Dash Handicap,12:20:00,,4.1,R A Fahey,13
Catterick,William Hill Catterick Dash Handicap,12:20:00,Vintage Clarets (GB),4.1,R A Fahey,13
Catterick,William Hill Catterick Dash Handicap,12:20:00,,5.2,K A Ryan,15
Catterick,William Hill Catterick Dash Handicap,12:20:00,Venture Capital (GB),5.2,K A Ryan,15
Catterick,William Hill Catterick Dash Handicap,12:20:00,,8,M Appleby,17
Catterick,William Hill Catterick Dash Handicap,12:20:00,Hedge Fund (IRE),8,M Appleby,17
Catterick,William Hill Catterick Dash Handicap,12:20:00,,8.2,M Walford,19
Catterick,William Hill Catterick Dash Handicap,12:20:00,Kodiac Thriller (IRE),8.2,M Walford,19
Catterick,William Hill Catterick Dash Handicap,12:20:00,Rosenpur (GER),9.8,J Candlish,21
Catterick,William Hill Catterick Dash Handicap,12:20:00,,9.8,J Candlish,21
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Words Of Truth (GB),2.46,C Appleby,1
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,,2.46,C Appleby,1
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,,6.4,W J Haggas,3
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Division (GB),6.4,W J Haggas,3
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,,8.4,J & T Gosden,5
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Siren Suit (GB),8.4,J & T Gosden,5
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Mission Central (IRE),11,A P O'Brien,7
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,,11,A P O'Brien,7
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Sir Albert (IRE),15.5,A M Balding,9
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,,15.5,A M Balding,9
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,,17.5,M Appleby,11
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Gentle George (GB),17.5,M Appleby,11
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,,19,H Palmer,13
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Ardisia (IRE),19,H Palmer,13
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Kansas (IRE),26,A P O'Brien,15
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,,26,A P O'Brien,15
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Super Soldier (IRE),40,K R Burke,17
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,,40,K R Burke,17
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,,75,R M Beckett,19
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Egoli (GB),75,R M Beckett,19
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Kamakameleon (GB),80,Dylan Cunha,21
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,,80,Dylan Cunha,21
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,,80,H Palmer,21
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Watcha Snoop (IRE),80,H Palmer,21
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,Slay Queen (IRE),180,R Hannon,25
Ascot,Qipco British Champions Day Two-Year-Old Condition,12:30:00,,180,R Hannon,25
Limerick,Limerick Show Maiden Hurdle,12:45:00,Artic Chief,2,L Lennon,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Whoswhointhezoo (IRE),2,P Nolan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Flash The Badge (IRE),2,J C McConnell,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Talk The Talk (FR),2,J P O'Brien,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Splendid Fellow,2,H De Bromhead,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Hesgonethatway,2,P J Rothwell,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Royal Approval (USA),2,G Elliott,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Louiescall (IRE),2,D H Kelly,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Call Tadgh (IRE),2,S Ryan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Brosna Town (IRE),2,D K Weld,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Certamen (IRE),2,E Buckley,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Maharajjah (IRE),2,L Young,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Glin Road Boy (IRE),2,E M O'Sullivan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Starting Fifteen (GB),2,E McNamara,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2,J P O'Brien,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2,D H Kelly,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Hesgonethatway,2,P J Rothwell,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2,S Ryan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2,P Nolan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2,J C McConnell,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Splendid Fellow,2,H De Bromhead,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Frankie's First,2,J M Burke,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Artic Chief,2,L Lennon,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2,G Elliott,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2,D K Weld,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2,E Buckley,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2,L Young,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2,E M O'Sullivan,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2,E McNamara,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,Frankie's First,2,J M Burke,1
Limerick,Limerick Show Maiden Hurdle,12:45:00,,2.3,W Durkan,31
Limerick,Limerick Show Maiden Hurdle,12:45:00,Touch The Moon (IRE),2.3,W Durkan,31
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt',12:50:00,,1.15,F Brennan,1
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt',12:50:00,Vesalius (IRE),1.15,F Brennan,1
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt',12:50:00,Absolutely Doyen (IRE),1.25,P F Nicholls,3
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt',12:50:00,,1.25,P F Nicholls,3
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt',12:50:00,Night Stalker (GB),5.2,Miss S West,5
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt',12:50:00,,5.2,Miss S West,5
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt',12:50:00,,23,Ella Pickard,7
Stratford,Diesel Technic 10 Year Anniversary 'National Hunt',12:50:00,Aceofadiamond (IRE),23,Ella Pickard,7
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Paws For Thought (IRE),3.1,D McCain Jnr,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,,3.1,M & D Easterby,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,,3.1,Darryll Holland,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,,3.1,T D Barron,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,,3.1,M Appleby,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,,3.1,Harry Eustace,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,,3.1,Mrs R Carr,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,,3.1,Adrian Nicholls,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,,3.1,R A Fahey,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,,3.1,M Dods,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Beauty Choice (GB),3.1,M & D Easterby,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Spring Bloom (GB),3.1,Darryll Holland,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Zarzyni (IRE),3.1,T D Barron,1
