course_name,race_name,off_time,horse_name,win_ppwap,rank
Catterick,William Hill Football Final One Standing Handicap (Div 2),11:50:00,Catalyse (IRE),7.2,19
Ascot,Qipco British Champions Long Distance Cup (Group 1),11:55:00,Trawlerman (IRE),1.54,1
Ascot,Qipco British Champions Long Distance Cup (Group 1),11:55:00,NO NAME,1.54,1
Ascot,Qipco British Champions Long Distance Cup (Group 1),11:55:00,Sweet William (IRE),6,3
Ascot,Qipco British Champions Long Distance Cup (Group 1),11:55:00,NO NAME,6,3
Ascot,Qipco British Champions Long Distance Cup (Group 1),11:55:00,Stay True (IRE),7.6,5
Ascot,Qipco British Champions Long Distance Cup (Group 1),11:55:00,NO NAME,7.6,5
Ascot,Qipco British Champions Long Distance Cup (Group 1),11:55:00,Al Qareem (IRE),15.5,7
Ascot,Qipco British Champions Long Distance Cup (Group 1),11:55:00,NO NAME,15.5,7
Ascot,Qipco British Champions Long Distance Cup (Group 1),11:55:00,NO NAME,100,9
Ascot,Qipco British Champions Long Distance Cup (Group 1),11:55:00,Saratoga (IRE),100,9
Stratford,Nigel Reeve 60th Birthday Celebration Female Jockeys' Handicap Hurdle,12:15:00,Gerard Mentor (FR),2.7,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jockeys' Handicap Hurdle,12:15:00,Zenato (IRE),2.7,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jockeys' Handicap Hurdle,12:15:00,Sain Et Sauf (GB),2.7,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jockeys' Handicap Hurdle,12:15:00,Lusso Milan (IRE),2.7,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jockeys' Handicap Hurdle,12:15:00,Character Testing (GB),2.7,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jockeys' Handicap Hurdle,12:15:00,Granny B (IRE),2.7,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jockeys' Handicap Hurdle,12:15:00,Freddie Fleetfoot (GB),2.7,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jockeys' Handicap Hurdle,12:15:00,Coup De Gold (IRE),2.7,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jockeys' Handicap Hurdle,12:15:00,NO NAME,2.7,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jockeys' Handicap Hurdle,12:15:00,NO NAME,2.7,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jockeys' Handicap Hurdle,12:15:00,NO NAME,2.7,1
