course_name,race,time,horse_name,price,trainer,rank
Ascot,Qipco British Champions Long Distance Cup (Gr,11:55:00,Sweet William (IRE),6.00,J & T Gosden,3
Ascot,Qipco British Champions Long Distance Cup (Gr,11:55:00,,6.00,J & T Gosden,3
Ascot,Qipco British Champions Long Distance Cup (Gr,11:55:00,Stay True (IRE),7.60,A P O'Brien,5
Ascot,Qipco British Champions Long Distance Cup (Gr,11:55:00,,7.60,A P O'Brien,5
Ascot,Qipco British Champions Long Distance Cup (Gr,11:55:00,Al Qareem (IRE),15.50,K R Burke,7
Ascot,Qipco British Champions Long Distance Cup (Gr,11:55:00,,15.50,K R Burke,7
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,Gerard Mentor (FR),2.70,K Bailey & M Nicholls,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,Virtual Hug (IRE),2.70,Mrs N S Evans,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,Coup De Gold (IRE),2.70,Evan Williams,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,Barbie Girlz (IRE),2.70,Katy Price,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,,2.70,Evan Williams,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,,2.70,C J Gray,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,,2.70,M Mullineaux,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,,2.70,T Ellis,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,,2.70,D G Bridgwater,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,,2.70,F O'Brien,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,,2.70,F O'Brien,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,,2.70,K Bailey & M Nicholls,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,,2.70,Mrs N S Evans,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,,2.70,Katy Price,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,Zenato (IRE),2.70,F O'Brien,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,Sain Et Sauf (GB),2.70,F O'Brien,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,Lusso Milan (IRE),2.70,D G Bridgwater,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,Character Testing (GB),2.70,T Ellis,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,Granny B (IRE),2.70,M Mullineaux,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,Freddie Fleetfoot (GB),2.70,C J Gray,1
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,Electric Eddy (GB),3.15,N & W Twiston-Davies,21
